SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
114,8,11358,366,3,NULL,"0,00",15:26.3,BXCY1MPM1CO0867S06FC
115,10,43033,431,11,0.2,"0,00",03:33.5,M71GIE2ALMD3BRH5UOV3
116,8,67359,87,18,NULL,"0,00",00:51.6,DRS8UJN7LOQUJOQBHI7M
117,21,49113,189,13,NULL,"0,00",36:54.8,GPAXWEPM6IJ8K9F98NVE
118,3,28246,240,8,NULL,"0,00",38:08.4,0XN8R2RUC5NH1X2IBX5Y
119,5,45532,158,12,NULL,"0,00",27:45.6,E66MZFA19UC78GSMO5CX
120,4,30910,252,8,NULL,"0,00",21:41.0,UDVRIBDQWQPGHLRGMSMH
121,4,2529,378,1,NULL,"0,00",58:38.0,2AB9SH9VMSS0TKSAUG4W
122,19,17431,325,5,NULL,"0,00",15:01.7,D4MRRV052DPGYS2KIQU3
123,23,62666,67,16,NULL,"0,00",25:14.4,AXXGO0Y5RBIKHP6PI1M8
124,15,83172,63,22,NULL,"0,00",29:56.1,KF3JUSQQCQ9SG36PA3U2
125,5,68047,408,18,NULL,"0,00",21:20.5,A16WH2WU0P8U4PITXT87
126,13,17565,59,5,NULL,"0,00",10:53.3,FL9R1LZZ7XR6Q9DWNDPU
127,16,556,237,1,NULL,"0,00",37:07.5,B01YBDNVD9LUKVGX5FHW
128,23,15959,190,5,0.2,"0,00",25:25.8,SRGODG5W9GJDJ3K8TP8B
129,21,71159,198,19,NULL,"0,00",16:41.6,UN6B6EWZIX8Y0J8K9YWI
130,16,4801,41,2,NULL,"0,00",44:07.8,3T2H1RVPBQ8KRY4AC718
131,4,76636,84,20,NULL,"0,00",28:42.5,RIAFIKCNJRBT5RT4U4M1
132,1,83001,45,22,NULL,"0,00",26:26.4,670D9L4AXQU91BBR1I7J
133,20,71152,248,19,NULL,"0,00",59:51.2,RYWQL7A5H2F7NLAA19Y7
134,19,33333,291,9,0.1,"0,00",31:16.7,M1GK3FICSMEH8E83NNET
135,8,73033,401,19,0.1,"0,00",56:03.0,FNF1EQ0G099BO5XF6IRS
136,23,23994,54,7,0.2,"0,00",29:53.5,OG0QE616ELKD87D1IPPH
137,8,33297,152,9,NULL,"0,00",10:36.1,SD55K9BOG5M1CQ7EBZJY
138,10,55683,365,15,NULL,"0,00",49:05.7,MNOXFXKDOT2AWW3UKUXQ
139,11,7636,227,2,NULL,"0,00",36:15.3,XGYCWG5M6P5JM6PH84BR
140,8,95074,407,25,NULL,"0,00",21:32.0,SBJQFU4JR4L7RP7QLJHE
141,13,37533,59,10,NULL,"0,00",28:27.4,H3XR9QDDBQMZ844ELGM1
142,4,66582,218,17,NULL,"0,00",37:23.6,EKJBVGHQMKUCIA7MZ53Q
143,23,18575,14,5,0.2,"0,00",15:11.1,FEZ8IK3BZ2UDO3JDGE9W
144,14,55960,3,15,NULL,"0,00",18:21.5,P5RNPTWRLAIAWZ6K3CWE
145,6,17451,263,5,NULL,"0,00",16:52.9,NIZYU7O9JRUUJQ87LTQ6
146,9,6301,278,2,0.1,"0,00",03:02.2,DRB2S4CTD1CI71NSOVM7
147,11,34853,94,9,NULL,"0,00",30:49.0,2JNGC8YCHJ67U9QOW23C
148,23,30759,143,8,0.2,"0,00",36:02.5,6QIBBOKFWX4Y1B8NMFVE
149,1,73891,146,19,0.1,"0,00",14:35.4,VH6BCSX3STIV2VS551JD
150,15,39622,250,11,NULL,"0,00",23:33.6,LM18TXH09M8YZB8B0YVN
151,11,72250,285,19,NULL,"0,00",06:37.9,44L2ZFFIHEC0KAV42JVF
152,19,71872,290,19,NULL,"0,00",57:39.7,I6AX3KKU42NQKGHF6UH1
153,22,17740,25,5,NULL,"0,00",05:24.8,S8VXE1D6YF077MYB5VVV
154,13,61181,325,16,0.2,"0,00",07:43.9,CBOAZTDOWPDELQXEZOJ6
155,19,3833,177,1,NULL,"0,00",56:22.9,6NMICUJ40YM5UFW7NF7Z
156,15,25521,102,7,NULL,"0,00",08:35.4,2PNTMV0X57CP06O1RMZU
157,11,12903,295,4,NULL,"0,00",02:14.3,VQR8RA06C8B753XZOQYI
158,19,27507,233,7,NULL,"0,00",28:38.9,VR9GU886VT74X7YVLVLZ
159,20,25869,169,7,0.2,"0,00",18:30.3,SY0IU2Q13V1BDZZHRX2S
160,13,57346,288,15,NULL,"0,00",56:58.7,HF428WY43VCJG2T9YZ5H
161,7,68009,137,18,0.1,"0,00",43:36.6,SX6SJ7ZDUYJ7PBIWFM6R
162,2,90694,302,23,0.1,"0,00",00:30.1,Z0OSXW58SXWAVPIX9OPZ
163,2,77227,393,20,NULL,"0,00",09:10.6,9XTCQRBCJCZP8SWH0MAU
164,15,43163,68,11,0.1,"0,00",59:12.6,10NWULZY5YGS5Q3UG65U
165,2,13465,346,4,NULL,"0,00",05:50.1,9LWKNXLG91F5M7W6GW5B
166,8,70367,121,18,NULL,"0,00",05:59.6,DDJX21TMJG5Z9REQB6OD
167,7,51508,408,14,0.1,"0,00",54:32.4,WW1NJJ6N09ZIHW7DNLVS
168,1,53729,372,14,NULL,"0,00",42:44.5,PL95CFIG4QHYWGHHAIIN
169,1,37085,418,10,NULL,"0,00",19:23.2,J66HRV7DNKTKO6ARH63O
170,10,19039,377,5,NULL,"0,00",33:40.0,VIIKLFPVD2D5U5E3NKKA
171,1,34062,388,9,NULL,"0,00",50:15.5,H5OD7A6PSBEYRONNX6GH
172,12,92189,276,24,NULL,"0,00",47:49.1,AHFFU1VNTMJD4DDU6E5J
173,16,20611,14,6,NULL,"0,00",01:53.1,KRZ63HQFQD4TL7N8XC9A
174,20,49217,204,13,NULL,"0,00",06:13.6,YPVKMAATQSAYBPQG8RJ5
175,14,92136,193,24,NULL,"0,00",53:13.6,38FKI6PL91W84M24LG6F
176,1,34706,160,9,NULL,"0,00",21:14.4,ZLTUAHXSPLP5UUGF033L
177,20,97615,311,25,NULL,"0,00",59:50.6,HREQ72OCMADPL3NLQ8OR
178,9,6706,64,2,NULL,"0,00",06:52.9,JG629RLOLC2UDIUE43F9
179,10,65722,253,17,NULL,"0,00",13:03.2,2ACG8RTUAVEUFXA7NXB3
180,20,61746,130,16,NULL,"0,00",18:18.2,1XAU7LS6L49ICH6UL10R
181,3,81471,418,21,NULL,"0,00",40:04.3,BHNZYKJ7G646S1C1L051
182,16,68557,95,18,NULL,"0,00",01:05.0,OR5C2G4C2VACTPGMV909
183,23,40827,45,11,0.1,"0,00",10:50.5,5X5CKFUTZ0UQ6NQINV4F
184,7,31537,401,8,NULL,"0,00",53:08.0,EATUZBVFQR5RNITZ0I0A
185,6,31310,208,8,NULL,"0,00",37:29.8,2VGLM2Q37DWT4RNCIK3Y
186,9,4765,246,2,0.2,"0,00",31:02.8,89PYJ4WJND35BBFD8C95
187,2,65261,21,17,NULL,"0,00",21:01.6,JD8XJR5MHXXB4TLQN3XT
188,7,9972,376,3,NULL,"0,00",52:07.3,K0TOSF7ZA8TS2PVG0ZDR
189,23,29500,114,8,NULL,"0,00",34:53.7,5F6T6HTMK8CCRZDF9QBX
190,16,47513,299,13,NULL,"0,00",47:27.7,7P3J13QAM3K2NEKMVMYE
191,13,11092,211,3,NULL,"0,00",27:39.2,PZHGBQH0R92T9XQ3A4D3
192,13,5790,371,2,NULL,"0,00",41:57.2,X4R94KTSE4DJAIPL2QD8
193,13,29815,197,8,NULL,"0,00",30:35.4,VUI9DGTJKHKA1RVP666O
194,22,49049,392,13,0.2,"0,00",39:16.5,D5O9ZF1H7E0V12A90Q3Z
195,2,27066,270,7,NULL,"0,00",37:55.4,TMS98RTVVJ7K2HPTZE1S
196,11,45599,210,12,NULL,"0,00",27:57.3,C3JFZOKG6G2OYKIWZQO7
197,2,88114,278,23,NULL,"0,00",28:13.1,CUTBZKLG0C277GJ8U829
198,8,74172,399,19,0.2,"0,00",15:58.5,P34V3X6X0ODKF08Q303Z
199,13,42496,110,11,0.1,"0,00",12:31.4,53ZHR3YN5HLY7MROGVNE
200,21,45844,143,12,NULL,"0,00",10:53.3,0OPMRFBIQ8Y9EJZ5DCT8
201,3,53552,323,14,NULL,"0,00",08:29.9,V6RM7DH1N5GLG4FAVZON
202,10,79884,174,21,NULL,"0,00",48:04.6,E9NPS3RJ2IT695HYZJ1U
203,23,92433,178,24,NULL,"0,00",16:39.3,22INYEKVHD5K5GX3XFAP
204,14,54852,221,14,0.1,"0,00",40:55.4,KMMF7ZYCWFMTMB651UO7
205,15,5561,315,2,NULL,"0,00",33:18.0,L5OL3OKU24R4ZHGV8QFM
206,23,78820,9,20,0.1,"0,00",18:48.8,LXJRI4QYWKMITZGYT4AD
207,3,51262,277,13,NULL,"0,00",55:46.6,TAUONUQ9S38K5075TKKU
208,2,67283,273,18,NULL,"0,00",59:11.2,5J4M5IZXFM480RMO3VA0
209,22,67804,132,18,NULL,"0,00",14:30.4,4HDXNZ9SZJQJMNRQ2HBQ
210,19,67886,17,18,NULL,"0,00",35:08.6,DH3C48KHQP9T612QOHJQ
211,18,26666,243,7,NULL,"0,00",08:44.7,F3EPE3VX0DY9CQZALJQO
212,3,6197,231,2,0.1,"0,00",55:21.3,9TGPFMOZDZS08XDPNP4P
213,9,60545,433,16,0.1,"0,00",15:35.7,PCAKUA2G3YS1S6AYZZH6
214,1,62882,39,16,NULL,"0,00",00:12.1,MD683TLKYTMZSJG54KBM
215,11,74635,323,19,NULL,"0,00",16:54.4,A10ZFR3RNQMIL3Y4BQHH
216,14,98212,43,25,NULL,"0,00",42:31.7,55620MTSUE6KEBC59O1H
217,3,49867,258,13,NULL,"0,00",49:39.7,A2ZG6FI1TTT5N5WUWE4A
218,19,45691,445,12,NULL,"0,00",16:02.5,SCGY6RMY22GZ1U26LU7A
219,10,11853,312,4,NULL,"0,00",21:42.7,1KCFQ6GBD9W6VIQJIZOW
220,16,8701,100,3,NULL,"0,00",34:47.2,QRD5MBTNAKX07QR3JFK5
221,7,5106,100,2,NULL,"0,00",44:58.0,PSKS6CBN3UIEOATZ94UM
222,23,41537,32,11,NULL,"0,00",02:25.1,2PY6NRZFZJ3QF1YTDFZI
223,1,24229,258,7,0.1,"0,00",07:50.7,7PFLIFX39BQJYM3LLIKC
224,8,88332,119,23,0.2,"0,00",31:55.5,4AEN89V6VOV4OVZIL5B1
225,21,7948,166,3,NULL,"0,00",06:00.7,P8D7HEV7SXE6S2E0X962
226,11,28272,17,8,NULL,"0,00",08:18.3,EMUFAR32ZD8AVF21GRUZ
227,22,62375,80,16,NULL,"0,00",17:13.7,3RGYVSKHNV4ZFAMIS6NR
228,18,70321,74,18,NULL,"0,00",NULL,SJ5VWMCZHIC2XBUEHEZJ
229,19,22152,387,6,0.1,"0,00",22:36.5,CI4BG4GINL78UA7A2Z57
230,4,46537,436,12,NULL,"0,00",28:18.2,6CSWIZR4BRN8KG11KGIW
231,22,45352,335,12,NULL,"0,00",25:16.3,TX5U20M3EFTB265BEY4O
232,13,23443,364,6,NULL,"0,00",53:01.3,CTJZAU68IINB0CFN2FZ4
233,19,62970,407,16,NULL,"0,00",43:52.1,WBUXH9VP5ID73G3LUS5G
234,12,19879,110,6,NULL,"0,00",54:21.5,WX5Z1TQOCJ5KDFIO2SKA
235,18,8194,259,3,NULL,"0,00",02:09.9,C0A3XVC17MTN50EPXFG5
236,16,1587,244,1,NULL,"0,00",09:48.3,SZ7NQ1LXSZL5CJXVW4XD
237,17,74883,370,19,0.1,"0,00",51:59.7,5WCW7F3Z4C45HK02G7UQ
238,9,84735,276,22,0.1,"0,00",44:25.6,EM8ITGHU1AIRDN2VQILH
239,15,25976,86,7,NULL,"0,00",29:55.0,NMG0UZWSGX3NJQA4EEYM
240,6,51249,200,13,0.1,"0,00",19:50.0,32LD4WX7PO895QZRIYHK
241,6,52263,422,14,NULL,"0,00",18:41.0,LDF4TWSRC3NVSKKUMQ2Y
242,1,96738,200,25,NULL,"0,00",35:16.3,Q8UEE0ACVGH13HO69A05
243,8,40927,245,11,NULL,"0,00",21:50.4,CLLDC5EWW8EMGU4KQFWI
244,5,60374,98,16,NULL,"0,00",37:36.9,HN5TP2WOCF2T4EN901UV
245,22,20848,57,6,NULL,"0,00",59:45.2,Z73FMNKLIV3M1VYFJN3I
246,11,4895,433,2,NULL,"0,00",38:42.9,JSCTCGHBPD2MZHF2E2FC
247,4,44005,391,12,NULL,"0,00",32:17.9,TJY63JOUGDQD7GERLA72
248,13,65692,159,17,NULL,"0,00",26:21.5,SH102DIC4LN65P8DM8WS
249,11,73174,70,19,0.1,"0,00",30:23.3,90B9R10BTR89T02W5156
250,11,27613,228,7,0.2,"0,00",22:22.1,CS362R6DY2AASJHQRACH
251,8,94492,405,24,NULL,"0,00",55:23.7,BTFXCO6HG7RMZX882P9U
252,7,42423,286,11,0.1,"0,00",38:17.7,UPXZ0HK6ERSOH0YN9Q3Z
253,22,62319,87,16,0.2,"0,00",12:10.5,IUJOTM9IOK2N1H4IXB6M
254,21,33795,10,9,NULL,"0,00",54:15.8,2GYXHW9KSZ6V2CUEB6UB
255,15,40739,43,11,NULL,"0,00",37:44.2,Q6Q1FJT5CEWDLFEKQBPZ
256,3,12016,292,4,NULL,"0,00",25:55.3,WLWSZ593M5CBMB98W2DG
257,10,55656,368,15,NULL,"0,00",06:04.8,GLAIGWFTKU4BQTLU9GDK
258,15,4102,59,2,NULL,"0,00",40:13.8,P8J1Y45CU9CJJFZL9I9T
259,17,46905,55,12,NULL,"0,00",44:43.8,2B7ZWINEMLZVCRCQGISA
260,5,76048,299,20,NULL,"0,00",34:54.7,PKSS6EL8ZX4QSMXB11MH
261,2,16446,382,5,NULL,"0,00",24:59.7,7OCN6OMUT0GJSCQF7P32
262,9,79700,203,21,NULL,"0,00",01:35.1,NOV5K4FEEG6TJHWG40PY
263,7,45132,339,12,NULL,"0,00",33:10.0,5WN7ZA7WUCIFTKZHILK7
264,19,21268,148,6,NULL,"0,00",30:53.0,FKAP9VTZ3PE3QHR7XLU7
265,20,22534,135,6,NULL,"0,00",49:14.1,K3NDPWWZMF5RYQCCHQED
266,6,3223,332,1,NULL,"0,00",42:07.2,QM3C2389K0QZXUGNBJYX
267,7,41987,276,11,NULL,"0,00",24:52.6,HA9CSQFUGUFUKTHK1NTO
268,21,40666,324,11,NULL,"0,00",00:59.8,1EER1WVP57GGX9CU0ACT
269,6,54688,232,14,NULL,"0,00",13:25.8,45A5C1Z2AV48AFVULQUJ
270,19,73048,79,19,NULL,"0,00",50:23.8,ANYEMJ4P1DHVAX84LOUW
271,21,23329,126,6,0.2,"0,00",24:54.7,VBC7NTHZEJI99TICRQHU
272,18,63892,434,17,NULL,"0,00",58:06.0,8INDZIMQZ2ZNHFBM6ZQM
273,4,19716,359,5,NULL,"0,00",19:44.6,MUZL13QRUYD1AMTOUNBU
274,4,59364,113,16,NULL,"0,00",56:12.5,FHIMRE6PKQR8MMOOSYEW
275,10,55198,131,14,NULL,"0,00",03:01.7,43ML7SIXCBESG7CGY9PJ
276,7,7127,353,2,0.1,"0,00",59:31.0,A7LTN0502PWYBADW1KLO
277,16,611,240,1,NULL,"0,00",23:07.5,7FCF6FB7TPOCVUW0SKSD
278,19,62614,161,16,NULL,"0,00",24:48.1,ALHT5WZKXP4VA3S9DHLU
279,9,67485,63,18,NULL,"0,00",08:05.6,808LFGHV8ZSAVWTUM0IB
280,11,3053,186,1,0.2,"0,00",53:12.6,VZJHLR3RF26J31L97QGH
281,7,83026,79,22,NULL,"0,00",33:42.8,OPCKF6YEQH2I5D0O4TPD
282,10,95442,374,25,NULL,"0,00",41:56.7,TXLRRU8LEA2UZ6A7W6K4
283,7,95906,5,25,NULL,"0,00",46:50.4,OL40YOKK3WQ3JVSQSNBQ
284,8,93298,159,24,0.2,"0,00",00:14.4,B70O66QH7N49R5BHRT5N
285,19,50805,32,13,0.1,"0,00",32:54.5,BDBQFBIH4I9DJCE3CRIU
286,15,2930,50,1,NULL,"0,00",46:58.6,V9MUSPG81U53RZTOXRV7
287,14,59884,277,16,0.2,"0,00",40:50.8,34VV7TXDE1NSXG3OVML2
288,21,29175,397,8,0.2,"0,00",49:36.3,3O3ARCKEE0NN3S5RZKWJ
289,21,77900,67,20,NULL,"0,00",16:37.4,MSIBTJQZ2495QZFSKFGC
290,15,94938,420,25,NULL,"0,00",36:14.6,Z1Z4UOXXV2OIEGWKYYTU
291,7,44691,328,12,NULL,"0,00",03:43.5,CVDHCSQZE4F6VMRI6ZVS
292,2,70782,311,18,NULL,"0,00",11:45.9,72KMCIJ7MHNIJN5MNIV7
293,15,37830,222,10,NULL,"0,00",59:41.8,GY9CJU41RYX1C5TTVZA6
294,11,48687,240,13,0.2,"0,00",55:00.3,SMSNBYLWJGZK4Q3B9TOE
295,5,34803,271,9,0.1,"0,00",54:50.3,UIQG7ICTSIL16OBGO7VJ
296,21,71322,219,19,NULL,"0,00",NULL,8IXG8EPHL6LSLY3264G9
297,18,51607,314,14,NULL,"0,00",17:05.9,RYEJX1SULLSV0L0S0Y3M
298,13,19660,97,5,NULL,"0,00",02:06.2,6BZ8KQ8EH3F91HJJWACX
299,9,37840,416,10,NULL,"0,00",50:57.4,ZKSXLC2965CNRKMEADBK
300,17,17625,177,5,NULL,"0,00",48:22.9,3IDLY4H83OQOP7R7BYE5
301,4,61668,157,16,0.1,"0,00",17:37.9,AX3MAXX4MX1D6W2FBN7L
