,ProductID,Quantity,Discount,SalesDate,SalesTime
66044,291,4,0.2,33,318
66117,291,8,0.0,104,491
67399,291,10,0.0,98,669
67638,291,25,0.0,95,155
70107,291,19,0.2,60,304
70609,291,19,0.0,103,1366
70617,291,9,0.2,50,680
70718,291,12,0.0,52,132
71614,291,6,0.2,20,1023
71646,291,11,0.2,3,919
71738,291,20,0.0,65,307
73857,291,4,0.0,105,1146
73979,291,15,0.0,108,471
74776,291,16,0.0,7,1084
74915,291,14,0.0,45,160
75014,291,2,0.0,62,98
75046,291,17,0.0,30,317
75149,291,20,0.1,101,208
76485,291,17,0.0,26,895
76603,291,25,0.0,44,710
77020,291,10,0.2,52,396
78124,291,19,0.2,28,935
78658,291,4,0.0,62,1264
79269,291,3,0.0,16,232
80447,291,14,0.0,44,861
80860,291,8,0.0,32,1056
81084,291,24,0.0,100,753
81195,291,25,0.0,46,1186
81208,291,12,0.1,1,198
81260,291,21,0.0,80,741
81494,291,17,0.0,106,1304
81503,291,24,0.0,123,725
81846,291,15,0.0,123,1067
82248,291,22,0.0,26,312
82595,291,17,0.0,98,196
84662,291,8,0.0,20,1318
84965,291,3,0.0,56,1432
86081,291,20,0.0,20,998
86107,291,9,0.0,115,1111
86207,291,17,0.0,61,950
86442,291,1,0.0,91,151
87342,291,3,0.0,22,980
88563,291,15,0.0,104,1112
89041,291,14,0.0,43,730
89586,291,7,0.0,4,809
89872,291,25,0.0,54,736
89941,291,1,0.0,40,163
90063,291,7,0.0,16,1231
90369,291,25,0.0,101,514
91142,291,15,0.0,118,178
91306,291,21,0.0,49,1363
91705,291,12,0.0,71,93
91845,291,24,0.0,105,455
92235,291,24,0.0,10,760
92585,291,11,0.2,113,838
93008,291,21,0.0,71,233
93616,291,17,0.0,68,587
93689,291,23,0.0,106,886
93715,291,23,0.2,5,1311
94249,291,4,0.0,38,1007
94943,291,18,0.0,46,953
96835,291,23,0.0,73,637
96843,291,7,0.0,80,870
98095,291,1,0.0,21,1406
98649,291,17,0.0,111,281
98807,291,3,0.0,59,1432
98994,291,9,0.0,72,129
99289,291,6,0.0,90,759
99795,291,17,0.1,104,92
99902,291,10,0.0,59,1304
101060,291,18,0.0,1,1199
101177,291,20,0.1,1,520
101233,291,21,0.0,104,193
101426,291,9,0.1,39,1132
101726,291,25,0.0,31,209
101757,291,1,0.0,34,921
102080,291,19,0.0,13,1050
102467,291,13,0.0,78,28
102619,291,17,0.0,122,516
102999,291,18,0.0,124,272
103334,291,19,0.2,9,1142
103971,291,24,0.0,24,1044
104225,291,6,0.0,2,751
104567,291,19,0.0,21,302
105124,291,14,0.0,59,588
105238,291,4,0.0,75,691
106031,291,13,0.2,99,1102
106420,291,22,0.0,61,1110
106835,291,19,0.0,62,15
107010,291,7,0.0,66,830
107092,291,13,0.2,80,9
110438,291,6,0.2,2,1161
110661,291,13,0.0,103,346
110733,291,25,0.2,123,332
111364,291,24,0.1,96,852
111962,291,5,0.0,109,1096
112453,291,2,0.0,92,1229
113469,291,1,0.0,12,1049
113481,291,24,0.0,85,139
114353,291,7,0.0,110,1219
115112,291,11,0.0,44,326
115317,291,16,0.1,51,227
115640,291,16,0.0,75,296
116202,291,18,0.2,18,527
116241,291,15,0.1,33,7
116491,291,22,0.0,92,124
116680,291,11,0.0,59,1213
116904,291,20,0.0,5,122
117143,291,17,0.1,47,797
117253,291,6,0.0,13,1206
117288,291,6,0.0,35,241
117587,291,4,0.0,79,394
117845,291,19,0.1,121,250
119123,291,3,0.1,116,1398
119257,291,13,0.0,100,1205
119323,291,12,0.0,64,477
119657,291,16,0.1,109,1278
120628,291,25,0.2,82,381
120893,291,3,0.0,98,558
120949,291,2,0.0,112,692
120970,291,5,0.2,86,234
120993,291,17,0.0,113,113
121518,291,20,0.0,97,76
121916,291,14,0.0,0,1076
121922,291,14,0.0,59,1042
122197,291,7,0.0,65,108
122687,291,4,0.1,70,1437
123084,291,7,0.0,92,653
123405,291,1,0.0,111,483
123828,291,9,0.0,82,642
124681,291,24,0.0,127,899
125575,291,24,0.0,13,78
125832,291,22,0.2,72,1217
126383,291,18,0.1,119,866
127000,291,12,0.1,35,1287
127173,291,13,0.0,43,1116
127865,291,2,0.0,56,723
127882,291,6,0.0,77,942
127888,291,2,0.0,12,515
128187,291,21,0.0,91,961
128631,291,10,0.0,71,582
128817,291,18,0.0,111,883
129243,291,12,0.0,22,1406
129304,291,18,0.0,121,687
130184,291,18,0.0,84,921
130357,291,23,0.1,19,408
130667,291,17,0.0,46,851
130860,291,8,0.0,58,535
132112,291,5,0.0,125,1097
132140,291,18,0.0,108,1419
132153,291,19,0.0,6,923
132184,291,18,0.0,58,1170
133943,291,20,0.0,29,1391
134102,291,14,0.0,122,138
134687,291,23,0.1,63,726
134890,291,20,0.0,94,1008
135625,291,2,0.1,59,1416
136125,291,6,0.0,97,639
136774,291,10,0.0,86,10
137829,291,7,0.0,91,469
137957,291,3,0.1,84,191
139727,291,3,0.0,101,229
139893,291,20,0.0,23,908
141443,291,23,0.0,47,675
141501,291,17,0.0,37,1175
141803,291,12,0.0,48,55
141892,291,3,0.0,96,1429
141910,291,3,0.0,29,127
142370,291,3,0.0,83,1152
142912,291,16,0.0,39,113
143013,291,19,0.0,16,269
143721,291,8,0.0,11,465
144494,291,16,0.0,81,1099
144624,291,8,0.2,120,8
145164,291,4,0.0,121,685
145886,291,2,0.1,65,867
145994,291,8,0.2,3,6
146174,291,16,0.0,44,1004
146238,291,13,0.0,90,582
146258,291,23,0.0,123,12
147072,291,13,0.0,10,1194
147214,291,7,0.2,69,1319
147642,291,21,0.1,50,177
147880,291,2,0.2,18,33
147934,291,25,0.1,105,399
147938,291,19,0.0,124,778
148491,291,6,0.0,115,713
149267,291,17,0.2,5,1228
149766,291,5,0.0,49,1294
150883,291,12,0.2,123,1317
151122,291,6,0.2,92,444
151138,291,21,0.0,66,336
151568,291,16,0.1,31,343
151831,291,23,0.0,128,498
152307,291,18,0.0,95,1116
152477,291,14,0.0,53,458
152663,291,15,0.0,9,909
152892,291,25,0.0,99,588
153005,291,13,0.0,45,1401
153645,291,16,0.0,98,1019
153889,291,4,0.0,21,549
154293,291,2,0.2,22,1309
155388,291,18,0.1,124,1430
155634,291,15,0.0,42,1063
156353,291,13,0.0,44,1137
157570,291,10,0.1,40,1088
157597,291,15,0.0,97,536
157720,291,4,0.0,61,1408
157877,291,10,0.0,35,272
159175,291,9,0.0,78,902
159273,291,12,0.2,69,1204
159497,291,16,0.0,30,546
160796,291,10,0.0,22,471
160897,291,24,0.0,56,1430
161222,291,16,0.1,26,1271
161567,291,20,0.0,13,911
161925,291,3,0.0,112,286
162466,291,4,0.0,102,1156
162584,291,22,0.0,1,675
162834,291,13,0.0,40,86
163562,291,22,0.2,96,438
163593,291,13,0.0,85,1073
163780,291,25,0.0,24,151
164153,291,8,0.1,60,1138
164162,291,15,0.0,125,578
165020,291,8,0.0,4,1250
165119,291,16,0.0,23,899
165600,291,22,0.0,23,1023
165924,291,7,0.2,92,253
166236,291,11,0.0,14,1195
166437,291,9,0.2,58,348
166501,291,4,0.0,75,778
166768,291,11,0.0,58,1088
167742,291,2,0.1,49,809
168066,291,9,0.2,115,643
168234,291,23,0.0,50,254
168343,291,13,0.0,8,1021
168773,291,12,0.0,48,445
168824,291,11,0.1,102,631
168918,291,5,0.0,48,1313
169132,291,2,0.0,115,799
170018,291,21,0.0,88,995
170866,291,19,0.1,12,897
170913,291,21,0.0,59,1304
171049,291,9,0.0,120,859
171207,291,16,0.0,82,1248
171531,291,12,0.2,128,1128
171624,291,12,0.0,33,1122
172114,291,20,0.1,124,940
172466,291,16,0.0,75,1223
172632,291,4,0.0,117,349
173406,291,3,0.0,13,900
174061,291,6,0.0,11,1086
174093,291,20,0.0,39,699
174099,291,20,0.0,73,1143
174358,291,22,0.0,77,1103
174880,291,7,0.0,45,99
174987,291,19,0.0,48,620
175049,291,6,0.0,7,1241
175051,291,8,0.2,89,1370
175845,291,9,0.0,66,208
176180,291,1,0.2,36,408
176368,291,1,0.0,104,342
176410,291,22,0.1,55,153
176672,291,25,0.1,93,1407
177311,291,6,0.1,114,1261
177521,291,17,0.0,70,706
177799,291,18,0.0,38,458
178021,291,5,0.0,78,704
179532,291,12,0.2,11,163
181196,291,22,0.0,125,35
181424,291,5,0.2,10,956
181829,291,6,0.0,1,1010
181914,291,18,0.0,82,1105
181985,291,21,0.0,82,621
182266,291,4,0.0,59,438
182378,291,3,0.0,100,649
182406,291,4,0.1,79,858
182637,291,4,0.0,65,753
182956,291,24,0.0,125,78
183236,291,12,0.0,89,72
183680,291,15,0.0,46,558
183710,291,21,0.0,100,922
183713,291,23,0.0,37,1273
183826,291,20,0.0,50,1031
183981,291,4,0.0,34,550
184057,291,1,0.0,77,212
184214,291,6,0.0,64,1064
184282,291,2,0.1,28,663
184319,291,3,0.0,95,1365
184394,291,17,0.0,17,574
185232,291,6,0.0,28,656
185394,291,10,0.0,22,73
185430,291,12,0.0,69,1325
185632,291,9,0.0,121,880
185748,291,2,0.1,74,1207
185804,291,15,0.0,108,1331
186353,291,14,0.0,110,1348
186507,291,3,0.0,49,39
187211,291,10,0.0,40,828
187221,291,7,0.0,39,54
187262,291,10,0.1,76,145
187303,291,20,0.0,91,335
187315,291,15,0.0,10,416
187420,291,8,0.0,45,1148
187542,291,13,0.1,48,813
187566,291,23,0.0,27,761
187760,291,5,0.0,77,1261
188322,291,12,0.0,87,350
188442,291,7,0.1,99,794
188743,291,3,0.0,60,997
188790,291,23,0.0,83,1120
188984,291,21,0.1,36,976
189379,291,5,0.0,2,1383
189495,291,9,0.0,89,1036
189784,291,12,0.1,111,996
189868,291,6,0.0,65,782
190635,291,17,0.0,85,1192
191836,291,12,0.0,74,124
192694,291,11,0.0,1,392
193030,291,7,0.0,41,458
193238,291,17,0.0,103,373
194360,291,22,0.0,36,850
194570,291,12,0.0,87,1082
196139,291,9,0.0,65,1057
196612,291,11,0.2,68,576
196829,291,14,0.0,55,1135
197101,291,13,0.0,114,721
197806,291,4,0.0,127,57
198423,291,17,0.0,111,397
199247,291,2,0.0,122,118
199580,291,12,0.0,78,138
199790,291,1,0.0,16,1432
200690,291,15,0.0,9,1039
201329,291,19,0.0,78,976
201725,291,22,0.0,12,1316
202194,291,3,0.0,123,800
202840,291,5,0.0,79,214
203328,291,13,0.0,19,841
204002,291,20,0.0,120,929
204246,291,11,0.0,11,404
204289,291,1,0.0,105,37
205314,291,11,0.0,30,39
205782,291,9,0.0,114,892
205996,291,25,0.0,128,1196
206118,291,15,0.2,116,1349
207270,291,10,0.0,105,1345
207615,291,13,0.0,124,633
208347,291,23,0.0,91,733
209094,291,6,0.0,2,154
209135,291,5,0.0,13,392
209263,291,5,0.1,1,184
209486,291,16,0.0,96,431
210128,291,20,0.0,4,1303
211454,291,19,0.2,16,986
211885,291,15,0.0,90,1235
212926,291,12,0.0,90,35
213900,291,6,0.0,102,299
214099,291,20,0.0,90,454
214197,291,18,0.0,110,205
214853,291,9,0.0,111,375
216927,291,23,0.1,108,1052
217111,291,7,0.0,112,727
217955,291,12,0.0,109,451
218849,291,16,0.2,123,1099
219035,291,16,0.0,69,285
220322,291,10,0.0,119,680
220479,291,7,0.0,121,200
220852,291,8,0.0,6,173
220928,291,23,0.2,25,898
223664,291,4,0.0,3,239
224733,291,3,0.0,93,239
225046,291,17,0.2,52,257
225547,291,4,0.0,46,1293
225718,291,12,0.0,121,968
226812,291,4,0.0,101,373
227039,291,5,0.0,69,444
227406,291,8,0.0,73,183
227705,291,18,0.0,77,1310
227783,291,23,0.2,104,1120
227848,291,12,0.0,27,1251
228041,291,15,0.1,6,765
228551,291,15,0.0,16,970
228583,291,19,0.0,74,112
228764,291,6,0.0,3,735
228806,291,14,0.0,17,1356
230165,291,2,0.1,123,1017
230419,291,7,0.0,17,380
234262,291,1,0.0,3,1425
235062,291,24,0.0,11,106
235134,291,16,0.0,109,802
235641,291,3,0.0,110,522
236480,291,15,0.2,78,1120
236721,291,12,0.0,67,711
236796,291,24,0.0,26,675
238230,291,4,0.2,117,933
238507,291,22,0.0,101,1381
241317,291,20,0.0,4,825
241323,291,15,0.1,64,213
241464,291,16,0.2,123,1312
241692,291,23,0.0,5,98
241725,291,23,0.0,48,1230
242514,291,21,0.0,59,279
242547,291,3,0.0,111,1041
243231,291,14,0.0,69,1107
243781,291,4,0.2,3,530
243933,291,15,0.0,17,943
244122,291,2,0.0,53,624
244140,291,25,0.0,119,329
244163,291,2,0.2,117,501
244817,291,7,0.0,27,250
244855,291,6,0.0,53,402
245041,291,17,0.0,98,1308
245534,291,7,0.0,0,687
246131,291,15,0.0,30,620
246498,291,14,0.0,44,697
247088,291,6,0.0,44,78
247667,291,18,0.0,107,821
248168,291,11,0.0,90,1356
248316,291,16,0.0,101,316
248864,291,16,0.1,40,642
250433,291,8,0.0,96,1050
250477,291,8,0.0,96,664
250884,291,17,0.0,14,831
250901,291,11,0.0,84,704
251387,291,12,0.0,110,343
251451,291,3,0.0,48,1184
251646,291,25,0.0,6,1270
253260,291,1,0.0,104,549
253461,291,16,0.2,48,689
254229,291,10,0.0,128,1255
254324,291,7,0.1,115,511
254459,291,23,0.1,101,903
254815,291,21,0.0,72,163
254896,291,10,0.2,96,448
254965,291,1,0.1,40,617
255471,291,25,0.0,95,378
256067,291,24,0.0,59,546
256436,291,7,0.0,69,959
256720,291,12,0.0,113,137
256736,291,5,0.0,20,901
257304,291,23,0.0,108,256
257786,291,8,0.2,63,751
258160,291,6,0.0,107,957
258523,291,2,0.0,109,466
258576,291,13,0.0,2,107
259342,291,4,0.0,25,735
259444,291,11,0.1,73,1296
259775,291,14,0.0,78,456
261318,291,15,0.0,9,278
261414,291,24,0.0,65,1239
261685,291,12,0.0,83,426
262063,291,3,0.0,28,1167
262122,291,1,0.0,15,1096
262286,291,7,0.0,64,916
262352,291,5,0.0,41,796
263011,291,20,0.0,99,35
263754,291,20,0.0,100,1391
264262,291,2,0.1,73,845
264434,291,21,0.1,17,1307
264949,291,17,0.2,36,121
265045,291,22,0.0,8,775
265337,291,9,0.0,94,679
265481,291,19,0.0,61,197
265609,291,18,0.2,124,148
265984,291,9,0.0,124,1409
266093,291,12,0.0,1,1428
266161,291,5,0.0,85,918
266290,291,12,0.0,82,1388
266899,291,20,0.1,32,271
267160,291,17,0.0,38,655
267919,291,4,0.0,24,468
268530,291,5,0.0,16,393
268800,291,17,0.0,10,1260
268984,291,19,0.0,29,55
269440,291,2,0.0,58,1302
269598,291,1,0.0,55,136
269603,291,9,0.0,33,718
269617,291,10,0.0,118,461
270752,291,11,0.1,112,997
270840,291,9,0.0,109,1400
271145,291,9,0.0,121,697
272395,291,25,0.0,70,1423
272629,291,9,0.1,94,577
273678,291,18,0.1,40,1360
273704,291,1,0.0,128,439
274083,291,25,0.0,93,414
274143,291,12,0.0,9,91
274485,291,21,0.0,7,614
274491,291,17,0.2,51,342
274720,291,2,0.0,119,526
274906,291,2,0.0,21,1168
274916,291,9,0.0,60,1191
275715,291,17,0.0,53,209
275802,291,6,0.0,90,1272
276076,291,9,0.0,35,328
276284,291,13,0.0,108,167
276495,291,16,0.0,80,74
277024,291,19,0.0,18,812
277314,291,13,0.0,115,781
277943,291,24,0.0,84,1398
278016,291,9,0.0,52,988
278185,291,23,0.0,74,1200
278738,291,19,0.0,91,194
279294,291,23,0.0,72,635
279312,291,4,0.0,67,1243
279908,291,24,0.0,50,1410
280368,291,13,0.0,70,624
280652,291,18,0.0,52,959
281587,291,16,0.0,88,0
281636,291,6,0.0,33,1166
281944,291,13,0.0,77,1242
282567,291,20,0.0,24,734
282740,291,15,0.0,83,819
284354,291,7,0.0,63,980
285200,291,10,0.0,93,645
286416,291,12,0.0,98,532
287087,291,23,0.0,64,463
287541,291,21,0.0,88,1398
288068,291,23,0.0,36,1224
288297,291,5,0.0,103,1114
289682,291,14,0.2,68,975
290002,291,19,0.2,126,1429
290734,291,16,0.0,24,894
290919,291,9,0.0,5,152
291663,291,17,0.0,17,766
292260,291,6,0.0,102,485
292274,291,8,0.0,124,579
293398,291,4,0.1,105,687
293672,291,12,0.0,115,633
293684,291,10,0.0,102,334
293916,291,21,0.0,77,197
294334,291,11,0.2,121,149
294580,291,4,0.1,20,449
295539,291,16,0.0,60,633
296022,291,5,0.0,39,618
296413,291,20,0.2,16,1026
296607,291,1,0.0,100,856
297521,291,22,0.0,127,233
299805,291,14,0.0,39,1202
300384,291,6,0.0,58,1077
300490,291,21,0.0,86,654
301223,291,7,0.2,19,1251
301428,291,7,0.0,66,1159
301459,291,21,0.0,62,403
301831,291,24,0.0,92,175
302617,291,12,0.1,35,73
303172,291,25,0.0,22,887
303258,291,2,0.0,98,830
303555,291,13,0.1,86,116
303734,291,10,0.0,82,464
304051,291,17,0.0,4,34
304802,291,6,0.0,103,508
305485,291,25,0.1,108,458
305774,291,19,0.0,55,345
306134,291,22,0.0,10,36
306143,291,5,0.0,51,495
307054,291,17,0.0,69,1165
307127,291,14,0.0,69,724
307852,291,24,0.1,13,264
308211,291,16,0.0,50,775
308248,291,22,0.0,22,1346
308815,291,2,0.0,49,411
310025,291,19,0.1,81,348
310473,291,20,0.0,27,201
310485,291,19,0.0,78,958
310555,291,11,0.2,43,727
310590,291,24,0.0,4,837
311699,291,10,0.0,100,1359
312383,291,13,0.0,98,617
313076,291,12,0.0,67,1149
313157,291,4,0.2,106,436
313262,291,17,0.0,58,10
313470,291,4,0.0,14,513
313744,291,24,0.0,68,409
313753,291,23,0.0,56,998
315220,291,10,0.0,43,345
315502,291,19,0.0,48,850
315818,291,17,0.0,22,799
316244,291,22,0.0,10,700
316650,291,22,0.0,102,432
316892,291,18,0.1,72,819
317704,291,21,0.0,123,646
318004,291,20,0.0,80,1048
318355,291,25,0.0,105,291
319533,291,1,0.0,49,681
319814,291,21,0.0,103,665
320546,291,15,0.0,15,319
321151,291,4,0.0,100,1021
321577,291,16,0.0,88,1051
322039,291,25,0.2,31,339
322183,291,12,0.0,29,716
323027,291,18,0.0,7,440
323175,291,5,0.0,42,828
323436,291,9,0.1,16,241
326010,291,22,0.0,39,633
326071,291,7,0.2,102,1379
326859,291,13,0.0,86,255
327544,291,20,0.0,100,28
327769,291,25,0.0,43,156
327905,291,23,0.2,44,971
328041,291,3,0.0,24,1033
328195,291,13,0.0,18,457
328563,291,5,0.0,45,1433
329129,291,21,0.0,50,291
329332,291,13,0.0,91,325
332409,291,9,0.0,85,582
333634,291,1,0.1,7,377
335388,291,24,0.0,91,180
335391,291,15,0.1,49,357
336122,291,4,0.0,114,114
337362,291,9,0.0,97,352
338046,291,5,0.0,29,1130
338080,291,10,0.0,128,338
340507,291,6,0.0,51,485
340990,291,19,0.0,23,1137
341500,291,19,0.0,112,873
341627,291,6,0.0,47,108
341953,291,19,0.0,15,1121
341989,291,21,0.0,52,1311
342629,291,14,0.0,5,210
342674,291,17,0.0,108,522
344866,291,5,0.0,28,1337
346176,291,20,0.0,46,1393
346724,291,2,0.0,8,1107
347544,291,11,0.0,113,1070
347805,291,23,0.0,55,1336
347809,291,3,0.0,105,1216
348811,291,5,0.0,123,992
349012,291,18,0.1,112,154
349025,291,3,0.0,29,365
349150,291,5,0.0,15,180
349758,291,7,0.1,79,293
350880,291,22,0.0,0,565
350926,291,19,0.2,45,511
351540,291,5,0.0,42,1174
351716,291,10,0.2,13,468
352255,291,15,0.0,46,548
352441,291,9,0.2,102,142
352917,291,21,0.0,49,927
352977,291,22,0.0,95,588
354943,291,2,0.2,127,541
355070,291,1,0.0,123,659
355740,291,14,0.0,127,114
355748,291,20,0.0,79,143
355978,291,13,0.2,125,366
356232,291,7,0.2,19,1425
356276,291,10,0.1,31,139
356323,291,15,0.0,122,798
357021,291,6,0.1,119,772
358234,291,19,0.0,42,371
358511,291,8,0.0,55,66
359625,291,1,0.1,75,646
360111,291,11,0.0,123,1087
360220,291,7,0.0,2,1014
361367,291,12,0.0,116,179
362871,291,17,0.1,61,75
363061,291,7,0.2,0,479
363515,291,18,0.0,99,1083
363709,291,4,0.0,121,143
363747,291,24,0.0,56,893
364115,291,1,0.2,41,729
364150,291,9,0.0,19,1159
364230,291,25,0.0,46,173
364295,291,3,0.0,67,1064
364346,291,17,0.1,121,1320
364408,291,20,0.0,64,876
364545,291,24,0.0,60,1200
364997,291,2,0.0,55,362
365332,291,7,0.0,50,408
365545,291,14,0.0,66,1071
366147,291,22,0.0,82,837
366335,291,10,0.0,8,580
366443,291,1,0.0,13,426
366845,291,22,0.1,91,1419
366966,291,10,0.0,60,1231
367682,291,2,0.0,5,1132
367893,291,13,0.0,77,779
368079,291,14,0.0,125,1176
369173,291,8,0.2,104,1196
369722,291,25,0.0,94,66
369966,291,12,0.0,74,1377
370750,291,15,0.0,16,1411
370769,291,10,0.0,61,724
370805,291,22,0.0,127,64
371115,291,4,0.0,109,414
371127,291,4,0.2,69,1200
371725,291,16,0.0,53,711
371889,291,2,0.0,47,171
372172,291,8,0.0,71,864
372407,291,22,0.2,64,1018
372528,291,15,0.2,107,141
372690,291,25,0.0,71,1370
372698,291,23,0.0,79,1265
373621,291,17,0.1,36,240
373945,291,20,0.0,8,448
374604,291,8,0.0,84,748
375657,291,1,0.0,86,412
376844,291,3,0.0,7,972
377403,291,2,0.0,56,503
378126,291,15,0.0,27,718
378260,291,3,0.0,115,1039
380966,291,17,0.0,104,1219
381229,291,14,0.0,55,1057
381558,291,18,0.2,10,1341
382016,291,18,0.0,27,609
383027,291,22,0.0,24,1046
383243,291,1,0.0,128,689
383751,291,3,0.2,96,873
383760,291,2,0.1,36,1391
385060,291,1,0.0,55,664
386267,291,6,0.0,126,13
387141,291,7,0.0,124,654
388050,291,5,0.0,69,718
388435,291,7,0.0,27,1018
388720,291,25,0.0,70,377
388976,291,25,0.0,128,120
388999,291,2,0.0,32,1353
389223,291,21,0.0,76,896
389628,291,16,0.0,11,739
389685,291,22,0.0,14,551
389753,291,22,0.0,82,661
389950,291,14,0.0,69,1362
391039,291,14,0.0,114,65
391523,291,8,0.0,101,1012
391593,291,7,0.0,24,116
392018,291,17,0.1,121,918
392209,291,7,0.0,20,235
392379,291,4,0.0,98,90
393085,291,4,0.0,12,1425
393248,291,13,0.0,70,900
393340,291,2,0.0,58,863
394187,291,10,0.0,25,438
394305,291,9,0.0,59,1411
394360,291,22,0.0,50,669
394500,291,7,0.0,68,907
394868,291,8,0.0,9,849
394935,291,11,0.0,29,567
395602,291,7,0.0,106,319
395638,291,12,0.0,22,1273
396458,291,14,0.2,65,1289
396829,291,25,0.0,28,382
397292,291,1,0.2,95,548
397478,291,23,0.1,6,1309
397635,291,15,0.0,22,1183
397787,291,19,0.0,20,1000
398723,291,21,0.0,121,1316
398881,291,25,0.1,111,555
398919,291,2,0.0,52,1132
399051,291,12,0.0,25,23
399160,291,1,0.0,114,35
399242,291,1,0.0,47,129
399740,291,10,0.0,58,550
399835,291,20,0.0,25,429
400579,291,22,0.0,97,1240
400896,291,11,0.0,96,1000
402486,291,13,0.2,77,945
402915,291,12,0.0,5,353
403010,291,5,0.0,2,187
403103,291,20,0.0,18,303
403248,291,22,0.0,25,141
403758,291,21,0.0,123,1086
404082,291,1,0.0,101,395
404157,291,12,0.0,14,1111
404813,291,6,0.1,14,501
405364,291,21,0.1,21,1341
405518,291,8,0.0,108,1217
406274,291,4,0.0,86,1308
406915,291,25,0.0,2,744
407372,291,23,0.1,49,227
407996,291,21,0.0,113,555
408194,291,23,0.0,73,329
408306,291,18,0.0,29,29
408714,291,2,0.0,51,426
410047,291,4,0.0,106,47
410575,291,13,0.0,88,1258
410620,291,14,0.2,113,1312
410950,291,1,0.0,124,534
410958,291,5,0.0,105,420
410973,291,9,0.0,20,1323
410974,291,24,0.1,37,248
411478,291,5,0.2,74,474
412504,291,3,0.0,84,1252
414135,291,23,0.0,10,1115
416041,291,18,0.0,99,298
416555,291,1,0.0,63,1094
416759,291,12,0.2,18,516
418347,291,13,0.0,101,1083
418737,291,8,0.1,85,701
419377,291,12,0.0,63,845
420094,291,21,0.1,55,874
420124,291,1,0.0,30,780
420224,291,16,0.1,61,495
420574,291,6,0.0,121,1367
421849,291,24,0.0,79,418
422033,291,18,0.0,76,1354
422613,291,12,0.0,111,886
422750,291,18,0.2,9,1129
