Quantity,Discount,SalesDate,SalesTime
6,0,11,1086
20,0,39,699
20,0,73,1143
22,0,77,1103
7,0,45,99
19,0,48,620
6,0,7,1241
8,0.2,89,1370
9,0,66,208
1,0.2,36,408
1,0,104,342
22,0.1,55,153
25,0.1,93,1407
6,0.1,114,1261
17,0,70,706
18,0,38,458
5,0,78,704
12,0.2,11,163
22,0,125,35
5,0.2,10,956
6,0,1,1010
18,0,82,1105
21,0,82,621
4,0,59,438
3,0,100,649
4,0.1,79,858
4,0,65,753
24,0,125,78
12,0,89,72
15,0,46,558
21,0,100,922
23,0,37,1273
20,0,50,1031
4,0,34,550
1,0,77,212
6,0,64,1064
2,0.1,28,663
3,0,95,1365
17,0,17,574
6,0,28,656
10,0,22,73
12,0,69,1325
9,0,121,880
2,0.1,74,1207
15,0,108,1331
14,0,110,1348
3,0,49,39
10,0,40,828
7,0,39,54
10,0.1,76,145
20,0,91,335
15,0,10,416
8,0,45,1148
13,0.1,48,813
23,0,27,761
5,0,77,1261
12,0,87,350
7,0.1,99,794
3,0,60,997
23,0,83,1120
21,0.1,36,976
5,0,2,1383
9,0,89,1036
12,0.1,111,996
6,0,65,782
17,0,85,1192
12,0,74,124
11,0,1,392
7,0,41,458
17,0,103,373
22,0,36,850
12,0,87,1082
9,0,65,1057
11,0.2,68,576
14,0,55,1135
13,0,114,721
4,0,127,57
17,0,111,397
2,0,122,118
12,0,78,138
1,0,16,1432
15,0,9,1039
19,0,78,976
22,0,12,1316
3,0,123,800
5,0,79,214
13,0,19,841
20,0,120,929
11,0,11,404
1,0,105,37
11,0,30,39
9,0,114,892
25,0,128,1196
15,0.2,116,1349
10,0,105,1345
13,0,124,633
23,0,91,733
6,0,2,154
5,0,13,392
5,0.1,1,184
16,0,96,431
20,0,4,1303
19,0.2,16,986
15,0,90,1235
12,0,90,35
6,0,102,299
20,0,90,454
18,0,110,205
9,0,111,375
23,0.1,108,1052
7,0,112,727
12,0,109,451
16,0.2,123,1099
16,0,69,285
10,0,119,680
7,0,121,200
8,0,6,173
23,0.2,25,898
4,0,3,239
3,0,93,239
17,0.2,52,257
4,0,46,1293
12,0,121,968
4,0,101,373
5,0,69,444
8,0,73,183
18,0,77,1310
23,0.2,104,1120
12,0,27,1251
15,0.1,6,765
15,0,16,970
19,0,74,112
6,0,3,735
14,0,17,1356
2,0.1,123,1017
7,0,17,380
1,0,3,1425
24,0,11,106
16,0,109,802
3,0,110,522
15,0.2,78,1120
12,0,67,711
24,0,26,675
4,0.2,117,933
22,0,101,1381
20,0,4,825
15,0.1,64,213
16,0.2,123,1312
23,0,5,98
23,0,48,1230
21,0,59,279
3,0,111,1041
14,0,69,1107
4,0.2,3,530
15,0,17,943
2,0,53,624
25,0,119,329
2,0.2,117,501
7,0,27,250
6,0,53,402
17,0,98,1308
7,0,0,687
15,0,30,620
14,0,44,697
6,0,44,78
18,0,107,821
11,0,90,1356
16,0,101,316
16,0.1,40,642
8,0,96,1050
8,0,96,664
17,0,14,831
11,0,84,704
12,0,110,343
3,0,48,1184
25,0,6,1270
1,0,104,549
16,0.2,48,689
10,0,128,1255
7,0.1,115,511
23,0.1,101,903
21,0,72,163
10,0.2,96,448
1,0.1,40,617
25,0,95,378
24,0,59,546
7,0,69,959
12,0,113,137
5,0,20,901
23,0,108,256
8,0.2,63,751
6,0,107,957
2,0,109,466
13,0,2,107
4,0,25,735
11,0.1,73,1296
14,0,78,456
15,0,9,278
24,0,65,1239
12,0,83,426
3,0,28,1167
1,0,15,1096
7,0,64,916
5,0,41,796
20,0,99,35
20,0,100,1391
2,0.1,73,845
21,0.1,17,1307
17,0.2,36,121
22,0,8,775
9,0,94,679
19,0,61,197
18,0.2,124,148
9,0,124,1409
12,0,1,1428
5,0,85,918
12,0,82,1388
20,0.1,32,271
17,0,38,655
4,0,24,468
5,0,16,393
17,0,10,1260
19,0,29,55
2,0,58,1302
1,0,55,136
9,0,33,718
10,0,118,461
11,0.1,112,997
9,0,109,1400
9,0,121,697
25,0,70,1423
9,0.1,94,577
18,0.1,40,1360
1,0,128,439
25,0,93,414
12,0,9,91
21,0,7,614
17,0.2,51,342
2,0,119,526
2,0,21,1168
9,0,60,1191
17,0,53,209
6,0,90,1272
9,0,35,328
13,0,108,167
16,0,80,74
19,0,18,812
13,0,115,781
24,0,84,1398
9,0,52,988
23,0,74,1200
19,0,91,194
23,0,72,635
4,0,67,1243
24,0,50,1410
13,0,70,624
18,0,52,959
16,0,88,0
6,0,33,1166
13,0,77,1242
20,0,24,734
15,0,83,819
7,0,63,980
10,0,93,645
12,0,98,532
23,0,64,463
21,0,88,1398
23,0,36,1224
5,0,103,1114
14,0.2,68,975
19,0.2,126,1429
16,0,24,894
9,0,5,152
17,0,17,766
6,0,102,485
8,0,124,579
4,0.1,105,687
12,0,115,633
10,0,102,334
21,0,77,197
11,0.2,121,149
4,0.1,20,449
16,0,60,633
5,0,39,618
20,0.2,16,1026
1,0,100,856
22,0,127,233
14,0,39,1202
6,0,58,1077
21,0,86,654
7,0.2,19,1251
7,0,66,1159
21,0,62,403
24,0,92,175
12,0.1,35,73
25,0,22,887
2,0,98,830
13,0.1,86,116
10,0,82,464
17,0,4,34
6,0,103,508
25,0.1,108,458
19,0,55,345
22,0,10,36
5,0,51,495
17,0,69,1165
14,0,69,724
24,0.1,13,264
16,0,50,775
22,0,22,1346
2,0,49,411
19,0.1,81,348
20,0,27,201
19,0,78,958
11,0.2,43,727
24,0,4,837
10,0,100,1359
13,0,98,617
12,0,67,1149
4,0.2,106,436
17,0,58,10
4,0,14,513
24,0,68,409
23,0,56,998
10,0,43,345
19,0,48,850
17,0,22,799
22,0,10,700
22,0,102,432
18,0.1,72,819
21,0,123,646
20,0,80,1048
25,0,105,291
1,0,49,681
21,0,103,665
15,0,15,319
4,0,100,1021
16,0,88,1051
25,0.2,31,339
12,0,29,716
18,0,7,440
5,0,42,828
9,0.1,16,241
22,0,39,633
7,0.2,102,1379
13,0,86,255
20,0,100,28
25,0,43,156
23,0.2,44,971
3,0,24,1033
13,0,18,457
5,0,45,1433
21,0,50,291
13,0,91,325
9,0,85,582
1,0.1,7,377
24,0,91,180
15,0.1,49,357
4,0,114,114
9,0,97,352
5,0,29,1130
10,0,128,338
6,0,51,485
19,0,23,1137
19,0,112,873
6,0,47,108
19,0,15,1121
21,0,52,1311
14,0,5,210
17,0,108,522
5,0,28,1337
20,0,46,1393
2,0,8,1107
11,0,113,1070
23,0,55,1336
3,0,105,1216
5,0,123,992
18,0.1,112,154
3,0,29,365
5,0,15,180
7,0.1,79,293
22,0,0,565
19,0.2,45,511
5,0,42,1174
10,0.2,13,468
15,0,46,548
9,0.2,102,142
21,0,49,927
22,0,95,588
2,0.2,127,541
1,0,123,659
14,0,127,114
20,0,79,143
13,0.2,125,366
7,0.2,19,1425
10,0.1,31,139
15,0,122,798
6,0.1,119,772
19,0,42,371
8,0,55,66
1,0.1,75,646
11,0,123,1087
7,0,2,1014
12,0,116,179
17,0.1,61,75
7,0.2,0,479
18,0,99,1083
4,0,121,143
24,0,56,893
1,0.2,41,729
9,0,19,1159
25,0,46,173
3,0,67,1064
17,0.1,121,1320
20,0,64,876
24,0,60,1200
2,0,55,362
7,0,50,408
14,0,66,1071
22,0,82,837
10,0,8,580
1,0,13,426
22,0.1,91,1419
10,0,60,1231
2,0,5,1132
13,0,77,779
14,0,125,1176
8,0.2,104,1196
25,0,94,66
12,0,74,1377
15,0,16,1411
10,0,61,724
22,0,127,64
4,0,109,414
4,0.2,69,1200
16,0,53,711
2,0,47,171
8,0,71,864
22,0.2,64,1018
15,0.2,107,141
25,0,71,1370
23,0,79,1265
17,0.1,36,240
20,0,8,448
8,0,84,748
1,0,86,412
3,0,7,972
2,0,56,503
15,0,27,718
3,0,115,1039
17,0,104,1219
14,0,55,1057
18,0.2,10,1341
18,0,27,609
22,0,24,1046
1,0,128,689
3,0.2,96,873
2,0.1,36,1391
1,0,55,664
6,0,126,13
7,0,124,654
5,0,69,718
7,0,27,1018
25,0,70,377
25,0,128,120
2,0,32,1353
21,0,76,896
16,0,11,739
22,0,14,551
22,0,82,661
14,0,69,1362
14,0,114,65
8,0,101,1012
7,0,24,116
17,0.1,121,918
7,0,20,235
4,0,98,90
4,0,12,1425
13,0,70,900
2,0,58,863
10,0,25,438
9,0,59,1411
22,0,50,669
7,0,68,907
8,0,9,849
11,0,29,567
7,0,106,319
12,0,22,1273
14,0.2,65,1289
25,0,28,382
1,0.2,95,548
23,0.1,6,1309
15,0,22,1183
19,0,20,1000
21,0,121,1316
25,0.1,111,555
2,0,52,1132
12,0,25,23
1,0,114,35
1,0,47,129
10,0,58,550
20,0,25,429
22,0,97,1240
11,0,96,1000
13,0.2,77,945
12,0,5,353
5,0,2,187
20,0,18,303
22,0,25,141
21,0,123,1086
1,0,101,395
12,0,14,1111
6,0.1,14,501
21,0.1,21,1341
8,0,108,1217
4,0,86,1308
25,0,2,744
23,0.1,49,227
21,0,113,555
23,0,73,329
18,0,29,29
2,0,51,426
4,0,106,47
13,0,88,1258
14,0.2,113,1312
1,0,124,534
5,0,105,420
9,0,20,1323
24,0.1,37,248
5,0.2,74,474
3,0,84,1252
23,0,10,1115
18,0,99,298
1,0,63,1094
12,0.2,18,516
13,0,101,1083
8,0.1,85,701
12,0,63,845
21,0.1,55,874
1,0,30,780
16,0.1,61,495
6,0,121,1367
24,0,79,418
18,0,76,1354
12,0,111,886
18,0.2,9,1129
16,0,39,293
20,0,38,547
3,0,91,203
14,0,6,573
17,0,115,185
7,0.2,60,764
17,0,64,249
16,0,85,882
14,0.2,40,44
9,0,121,1006
6,0.2,12,1436
16,0.1,1,675
22,0,65,918
14,0,105,586
8,0,29,500
21,0.1,100,1323
11,0.2,90,625
3,0,93,734
9,0.1,86,1329
14,0.2,95,646
13,0.1,10,744
19,0,128,1139
6,0.2,6,1255
19,0,59,966
22,0,48,132
11,0.1,128,497
15,0,110,1005
8,0,115,205
4,0,126,512
16,0.1,126,1156
7,0,115,364
20,0,102,624
24,0,107,269
16,0,73,256
24,0,31,961
23,0,67,65
1,0,127,1131
13,0.1,12,631
1,0,93,1055
16,0,9,159
25,0,38,584
18,0,90,750
10,0,2,803
8,0.1,75,1274
14,0.2,8,709
14,0,38,1106
15,0,71,416
5,0,3,571
5,0,91,657
1,0,20,1151
8,0,86,1183
22,0,115,414
20,0,85,824
11,0,54,1186
23,0,25,1087
23,0,83,379
8,0.2,73,375
6,0,73,708
9,0,80,1050
2,0.1,52,1014
9,0,46,262
25,0.1,80,339
2,0,93,846
5,0,52,1369
25,0,76,217
20,0,35,450
16,0.2,80,106
1,0,55,1301
12,0.2,101,650
1,0,107,1208
20,0,2,404
13,0,58,305
24,0,112,815
1,0,73,631
7,0,53,111
2,0,115,2
11,0,20,1004
24,0,65,173
22,0,87,1412
22,0.1,62,775
11,0,47,218
7,0,43,476
25,0.2,117,1311
18,0,53,467
7,0,104,1229
18,0.1,125,1108
9,0.1,50,1252
18,0,30,1383
7,0,14,183
21,0.1,85,1012
10,0,115,665
9,0,88,228
9,0,14,152
6,0,15,429
20,0.2,33,1116
2,0,128,79
2,0.2,115,1288
3,0.1,8,1184
9,0,38,747
8,0,78,34
24,0,70,185
17,0,48,456
11,0,94,1012
16,0,41,1145
14,0,38,686
25,0,120,1172
25,0,124,553
21,0,96,592
10,0.1,112,814
19,0.1,43,201
8,0,121,750
18,0,55,756
14,0,33,1041
1,0,28,1133
10,0.1,18,1356
21,0,11,844
18,0,17,1304
2,0.1,26,500
8,0,78,1158
8,0.2,103,181
2,0,85,496
7,0.1,74,1155
5,0,7,396
12,0,44,208
18,0,66,641
25,0,89,1175
14,0,31,745
8,0,6,1000
14,0,22,520
13,0,114,475
19,0,85,367
21,0,54,273
16,0,48,902
17,0,78,378
19,0,63,1105
6,0.2,52,123
11,0,49,478
19,0,96,1272
25,0,44,934
7,0,15,1042
12,0,105,379
13,0,109,1089
20,0,124,290
24,0,28,954
16,0,62,1085
17,0,82,640
7,0,59,429
8,0,80,761
11,0.1,103,533
11,0,57,618
2,0,97,805
4,0,103,1303
6,0,108,80
24,0,32,249
19,0.1,109,410
24,0,99,945
2,0.1,33,1184
10,0.2,33,1267
16,0,34,1215
1,0,102,495
10,0,58,423
17,0.2,53,951
3,0.2,15,406
25,0,115,1167
5,0.2,57,1055
12,0.1,5,640
9,0,26,363
24,0,114,180
19,0,106,1150
23,0,97,423
2,0,3,391
14,0,48,1313
19,0.2,30,1334
21,0.2,33,815
23,0,108,579
21,0,76,87
2,0,63,547
7,0,17,230
15,0,53,1076
7,0,90,550
8,0.1,18,214
16,0,89,806
5,0,112,120
22,0,36,573
25,0.1,28,1369
19,0,93,892
4,0,126,938
22,0,1,1340
5,0,15,1207
5,0,70,14
9,0,127,301
12,0,57,905
16,0,26,1307
10,0,74,1131
3,0,18,988
19,0.1,92,116
2,0,53,1415
13,0.2,92,741
4,0,23,814
20,0,68,1310
14,0,101,381
2,0,88,189
6,0,109,1034
15,0,36,734
25,0,37,237
1,0.1,50,10
18,0,124,751
10,0,74,889
14,0.1,27,14
2,0,97,1283
18,0,1,820
25,0.2,7,1143
8,0,45,1233
18,0,72,763
20,0,104,965
10,0.2,64,64
10,0,17,509
18,0,92,1012
24,0,101,50
13,0,101,385
12,0.2,29,342
19,0,126,1044
24,0,56,108
12,0,128,1295
8,0.2,121,480
14,0,49,1093
22,0,54,130
2,0.2,10,1165
11,0,65,865
14,0,36,412
23,0,53,23
9,0.2,84,1218
21,0,62,515
2,0,43,1379
17,0,39,171
4,0,111,379
2,0.2,123,966
15,0,91,1354
5,0,66,86
12,0.2,64,1429
19,0,122,1297
7,0,14,8
15,0,19,914
19,0,46,337
13,0,17,511
24,0,93,871
5,0.1,86,1388
19,0,45,779
4,0,102,257
8,0,20,1266
3,0,66,822
21,0,117,1138
9,0,69,355
1,0,75,904
24,0,3,1062
24,0,9,848
14,0.1,113,1202
20,0.2,13,567
21,0.1,127,1176
25,0,83,31
3,0.2,17,1045
17,0,7,488
13,0.1,77,594
8,0.1,109,5
9,0,1,977
6,0,54,123
16,0,86,1216
24,0.1,20,571
5,0,46,153
4,0,92,420
18,0,49,1126
22,0,26,155
9,0,99,1247
24,0,7,346
23,0,86,1142
13,0,108,704
8,0,61,539
8,0.1,112,728
3,0,81,1401
7,0,115,490
9,0.2,10,615
17,0.1,104,1346
1,0,57,128
14,0,73,513
21,0,98,629
2,0,100,857
8,0,111,869
12,0,67,666
18,0,57,643
13,0,103,1270
2,0,68,800
25,0,32,433
22,0,70,729
24,0,16,1400
18,0,90,688
1,0,50,1072
25,0,92,148
11,0,65,337
21,0,74,114
16,0,82,990
19,0,48,939
23,0.2,6,1049
6,0,33,864
2,0,26,1279
6,0,124,406
14,0.1,40,77
20,0,43,718
9,0.2,95,1009
9,0.1,56,896
21,0,15,1405
3,0,72,26
17,0,25,1357
14,0,75,1325
17,0,68,54
17,0.1,23,1067
6,0,49,949
18,0,33,614
17,0.1,39,437
17,0.1,13,218
10,0,79,789
19,0,68,1125
13,0,44,1358
2,0.2,71,35
13,0,71,501
11,0,58,1164
19,0.2,86,1328
4,0,22,553
4,0,8,1076
9,0,24,1264
9,0,23,1380
1,0,7,1223
20,0,123,90
23,0.2,1,623
23,0,127,847
17,0,73,351
11,0,101,838
21,0,101,1198
20,0,55,733
19,0,89,1143
12,0.2,103,714
8,0,51,347
17,0,9,345
4,0,71,1383
24,0,16,1336
18,0,43,996
9,0,74,906
18,0,119,512
11,0,20,1363
3,0,52,267
19,0,13,110
13,0,119,493
25,0,72,1190
10,0,50,441
3,0,9,905
23,0,65,71
11,0,56,877
6,0,96,1095
9,0,116,1316
23,0,17,128
3,0,46,960
13,0,44,922
1,0,80,371
5,0,122,726
4,0,68,779
16,0.1,83,713
25,0,124,776
2,0,58,1256
22,0,70,1084
21,0,109,1428
7,0,21,1107
25,0,67,297
13,0,113,43
25,0,37,686
20,0,9,844
2,0,110,850
15,0,115,164
21,0,61,1227
10,0.1,12,1015
8,0,49,819
23,0,8,916
7,0,78,635
16,0.1,5,175
24,0,128,228
16,0,56,1191
23,0,80,1300
1,0.2,98,27
21,0.2,84,1265
24,0,51,654
12,0,105,1034
20,0,96,549
11,0.2,24,744
3,0.1,78,915
5,0.2,113,829
5,0,32,1426
18,0,123,144
16,0,81,789
14,0,47,1330
18,0,58,206
15,0,61,1012
22,0,104,37
24,0,28,949
7,0,104,566
2,0,80,1175
16,0.2,109,119
6,0.1,89,611
25,0.1,80,918
4,0,72,77
9,0,7,1147
19,0,32,483
25,0,122,627
25,0,85,278
12,0,64,584
5,0,116,1105
23,0,71,683
25,0.1,88,1078
5,0,86,540
2,0,20,102
9,0.1,40,771
3,0,4,723
18,0,100,826
19,0,113,1043
10,0,89,1345
23,0,97,1425
23,0,124,1382
10,0.2,3,155
18,0,100,1213
3,0,17,380
22,0,78,575
13,0,85,1265
9,0,42,605
10,0.1,3,469
18,0,55,362
14,0,54,876
12,0,9,1196
6,0,56,779
10,0,73,789
11,0,5,579
5,0,98,414
10,0,70,1377
9,0,41,209
12,0.1,3,765
22,0.1,26,493
5,0.2,22,823
18,0,98,589
9,0,81,1249
11,0,103,1038
8,0,35,929
23,0,110,1029
8,0,41,825
14,0,104,835
20,0,127,311
19,0,63,936
2,0,93,82
25,0.2,15,464
13,0,103,15
11,0,28,599
12,0,7,494
8,0,42,585
10,0,86,682
21,0.1,62,258
7,0,102,1086
14,0,61,405
3,0,74,132
16,0,99,170
17,0,5,437
25,0,86,1285
21,0.1,4,760
4,0,84,1367
1,0,122,1024
22,0,94,371
12,0,1,816
5,0.1,52,236
8,0.2,124,986
19,0,79,1033
6,0,26,1138
5,0,5,902
18,0,114,1212
15,0,30,550
10,0,81,660
14,0,9,1300
15,0,2,1128
11,0,110,25
7,0,12,257
12,0,85,1245
9,0,62,112
23,0.1,106,567
15,0,85,1316
3,0,95,61
3,0,7,644
15,0,99,1313
21,0.2,0,632
16,0.1,95,102
7,0,25,1323
5,0,80,28
20,0,76,1238
19,0,38,1030
8,0,74,333
25,0,44,1298
5,0.1,4,78
23,0,81,357
11,0.1,18,494
5,0.1,119,850
5,0,62,875
12,0.1,116,928
13,0,71,1301
21,0,85,732
25,0,65,262
1,0,39,285
10,0,96,218
17,0,100,669
16,0,31,712
9,0,1,666
20,0,91,1120
3,0,22,715
20,0,55,1248
3,0,1,903
14,0,89,555
7,0.1,62,927
9,0,23,574
22,0,108,968
18,0,1,512
20,0,32,1168
4,0,59,1135
9,0.1,2,1281
12,0,95,1180
21,0,43,1260
25,0,62,842
10,0.1,36,674
18,0,41,1095
4,0,48,1416
19,0,18,1337
17,0,24,1078
2,0,80,217
8,0,44,480
4,0,95,140
4,0,22,687
15,0,51,1349
21,0,11,790
11,0,70,968
7,0.1,119,897
1,0,67,916
23,0,69,1254
25,0,108,1246
23,0,34,285
11,0,113,10
21,0,18,1304
10,0,14,463
17,0.1,33,1368
12,0,43,209
15,0.2,20,198
4,0.2,120,678
12,0,64,1189
8,0,2,387
12,0,125,612
9,0,52,622
6,0,117,830
10,0,3,567
5,0,123,657
7,0,64,72
17,0,55,1252
20,0,109,1397
13,0,44,319
7,0.1,45,674
7,0,96,400
25,0,32,815
11,0,44,626
7,0.1,61,1038
20,0.2,33,820
15,0,91,274
6,0.2,2,1193
23,0,89,153
6,0,14,890
25,0,6,633
20,0.2,83,650
6,0,88,499
5,0,85,620
18,0,86,459
5,0,28,1147
25,0,0,339
17,0,58,74
2,0.1,29,791
22,0.2,65,267
16,0,84,739
12,0,27,976
6,0,30,313
14,0.1,6,1165
21,0.1,85,356
20,0,101,529
2,0.2,124,695
17,0,7,1417
7,0,67,988
19,0,122,1003
17,0,118,103
5,0,123,142
12,0,81,253
5,0,68,1303
21,0,39,62
11,0,119,758
13,0.1,27,1319
10,0,126,792
19,0,5,268
16,0,3,584
8,0,36,1099
9,0,79,370
2,0,51,1026
18,0,31,743
16,0,126,658
23,0,22,963
25,0,81,238
13,0,18,1005
1,0,72,1402
22,0,120,1342
11,0,9,762
2,0,74,124
22,0,99,423
23,0.1,100,1330
20,0,16,438
14,0.2,66,827
21,0,51,1156
22,0,124,480
1,0,90,936
17,0,78,162
19,0,67,682
5,0.1,27,293
25,0,97,594
16,0,93,1344
13,0,115,589
7,0,114,1060
3,0,50,1281
5,0,97,181
24,0,26,426
6,0.1,77,1314
17,0,99,907
17,0,31,236
15,0,63,209
1,0,58,555
1,0,23,1160
3,0,8,497
16,0,93,367
16,0.1,92,488
18,0.2,35,373
22,0,79,1004
12,0,10,278
18,0,75,1109
25,0,84,1147
15,0,92,972
17,0,61,1192
7,0,49,937
23,0,29,1219
22,0,6,995
18,0,76,400
2,0,110,1077
20,0,76,536
22,0.2,1,817
19,0,60,749
8,0,108,1153
15,0,74,255
1,0,44,861
14,0,111,602
15,0.1,4,445
21,0.2,17,308
21,0,6,1208
18,0,124,863
22,0,30,99
22,0,56,733
5,0.2,19,1222
21,0,96,621
7,0,97,575
20,0,52,1215
20,0,0,902
19,0,63,484
18,0,83,503
24,0.2,87,944
16,0,58,1043
20,0,78,202
13,0,73,831
5,0,110,1159
22,0,88,467
23,0.2,87,899
14,0,84,1405
2,0,90,709
22,0,90,369
11,0,39,946
24,0,102,1151
